element,web_name,first_name,second_name,team_id,element_type,status,chance_of_playing_this_round,chance_of_playing_next_round,news,news_added,now_cost,cost_change_event,selected_by_percent,form,minutes,starts,total_points,transfers_in_event,transfers_out_event,ep_this,ep_next,team,season,snapshot_time,snapshot_date,current_gw,next_gw,next_deadline,hours_to_deadline
58,Forster,Fraser,Forster,3,1,a,NA,NA,,NA,40,0,3.1,0.0,0,0,0,0,0,NA,1.0,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
59,Dennis,Will,Dennis,3,1,a,NA,NA,,NA,40,0,0.2,0.0,0,0,0,0,0,NA,1.0,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
60,Hill,James,Hill,3,2,a,NA,NA,,NA,55,0,1.3,0.0,2102,22,110,0,0,NA,2.5,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
61,Truffert,Adrien,Truffert,3,2,a,NA,NA,,NA,55,0,4.6,0.0,3378,38,165,0,0,NA,2.5,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
62,Diakité,Bafodé,Diakité,3,2,a,NA,NA,,NA,50,0,0.2,0.0,1275,15,46,0,0,NA,2.2,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
63,Milosavljević,Veljko,Milosavljevic,3,2,a,NA,NA,,NA,50,0,0.1,0.0,367,4,19,0,0,NA,2.2,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
64,Smith,Adam,Smith,3,2,a,NA,NA,,NA,45,0,0.1,0.0,1073,14,58,0,0,NA,1.7,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
65,J.Araujo,Julián,Araujo Zúñiga,3,2,a,NA,NA,,NA,45,0,0.1,0.0,0,0,0,0,0,NA,1.7,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
66,Soler,Julio,Soler Barreto,3,2,a,NA,NA,,NA,40,0,0.6,0.0,34,0,3,0,0,NA,1.0,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
67,Rayan,Rayan Vitor,Simplício Rocha,3,3,a,NA,NA,,NA,65,0,3.4,0.0,1110,13,67,0,0,NA,2.3,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
68,Tavernier,Marcus,Tavernier,3,3,a,NA,NA,,NA,60,0,1.9,0.0,2732,31,137,0,0,NA,2.1,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
69,Scott,Alex,Scott,3,3,a,NA,NA,,NA,60,0,1.6,0.0,2848,34,136,0,0,NA,2.1,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
70,Kluivert,Justin,Kluivert,3,3,a,NA,NA,,NA,60,0,0.9,0.0,945,10,41,0,0,NA,2.1,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
71,Cook,Lewis,Cook,3,3,a,NA,NA,,NA,50,0,0.1,0.0,872,8,40,0,0,NA,1.5,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
72,Gannon-Doak,Ben,Gannon-Doak,3,3,a,NA,NA,,NA,50,0,0.2,0.0,105,0,11,0,0,NA,1.5,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
73,Adams,Tyler,Adams,3,3,a,NA,NA,,NA,50,0,0.7,0.0,1769,21,77,0,0,NA,1.5,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
74,Brooks,David,Brooks,3,3,a,NA,NA,,NA,50,0,0.2,0.0,1188,13,59,0,0,NA,1.5,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
75,Christie,Ryan,Christie,3,3,s,NA,0,Suspended until 29 Aug,2026-07-24T17:30:10.035483Z,50,0,0.0,0.0,978,9,47,0,0,NA,0.0,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
76,Tóth.A,Alex,Tóth,3,3,a,NA,NA,,NA,50,0,0.0,0.0,135,2,8,0,0,NA,1.5,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
